No.	NAME	nCIC	nCIR	TRS	Rperim	Rbrid	MCD	RFD	RCI	NRS	NNRS	nSpiro	nBridgeHead	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	nBnz	ARR	AP	D/Dtr03	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr07	D/Dtr08	D/Dtr09	D/Dtr10	D/Dtr11	D/Dtr12
1495	Molecule1495	10	26	56	38	9	0.904761904761905	0.473684210526316	1.47368421052632	1	0.1	1	0	0	0	4	6	0	1	7	2	1	2	1	0.196078431372549	0.214285714285714	0	0	178.556773969663	370.598627687952	0	71.1477183762081	619.323515572685	193.506652531298	107.775812059794	232.299882108738
1496	Molecule1496	10	26	56	38	9	1	0.473684210526316	1.47368421052632	1	0.1	1	0	0	0	4	6	0	1	7	2	1	2	1	0.212765957446809	0.236842105263158	0	0	156.34275552434	323.134967000813	0	62.7896287846402	540.96285275724	171.062630032058	95.2598092220518	205.571510769932
1497	Molecule1497	8	132	44	20	12	0.625	0.96	1.76	1	0.125	1	0	0	0	4	4	0	0	8	4	4	4	0	0.106382978723404	0.125	0	0	166.954340906995	173.26143337974	0	0	567.071572432144	293.16940949211	346.763774257779	393.810139052404
1498	Molecule1498	12	19	69	59	5	0.838235294117647	0.175438596491228	1.21052631578947	5	0.416666666666667	1	0	0	0	3	9	0	0	5	0	0	0	4	0.30379746835443	0.352941176470588	0	0	313.294517041403	1412.39204464687	0	0	1003.409383464	0	0	0
1499	Molecule1499	12	19	69	59	5	0.838235294117647	0.175438596491228	1.21052631578947	5	0.416666666666667	1	0	0	0	3	9	0	0	5	0	0	0	4	0.30379746835443	0.352941176470588	0	0	313.294517041403	1412.39204464687	0	0	1003.409383464	0	0	0
1500	Molecule1500	12	19	69	59	5	0.77027027027027	0.175438596491228	1.21052631578947	5	0.416666666666667	1	0	0	0	3	9	0	0	5	0	0	0	4	0.282352941176471	0.324324324324324	0	0	346.747541210216	1568.90452426577	0	0	1112.0143208607	0	0	0
1501	Molecule1501	8	15	45	35	5	0.589285714285714	0.303030303030303	1.36363636363636	1	0.125	1	0	0	0	3	5	0	0	5	0	0	0	0	0	0	0	0	231.42963305349	523.820415137576	0	0	759.088144992786	0	0	0
1502	Molecule1502	9	15	52	44	4	0.781818181818182	0.186046511627907	1.2093023255814	4	0.444444444444444	1	0	0	0	2	7	0	0	4	0	0	0	3	0.285714285714286	0.327272727272727	0	0	171.618983264683	877.230513339953	0	0	641.589774618675	0	0	0
1503	Molecule1503	10	19	56	44	6	0.626865671641791	0.285714285714286	1.33333333333333	2	0.2	1	0	0	0	4	6	0	1	5	0	0	1	1	0.144736842105263	0.164179104477612	0	0	439.516808756834	881.179572448241	0	176.813001853818	1053.47601083376	0	0	277.078619673519
1504	Molecule1504	10	19	56	44	6	0.636363636363636	0.285714285714286	1.33333333333333	2	0.2	1	0	0	0	4	6	0	1	5	0	0	1	0	0.146666666666667	0.166666666666667	0	0	429.972436462462	863.346486275155	0	172.420144710961	1032.75807617582	0	0	269.821293666193
1505	Molecule1505	9	18	51	39	6	0.755102040816326	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	0	0	0	0	0	184.696985908604	496.638469432483	0	0	722.6230677287	0	0	0
1506	Molecule1506	10	30	44	28	8	0.763157894736842	0.551724137931034	1.51724137931034	3	0.3	1	0	5	5	7	9	0	0	2	1	0	0	3	0.382978723404255	0.473684210526316	220.01576090705	290.008062675974	495.984005159472	770.38693594678	0	0	250.658162401437	144.376987181392	0	0
1507	Molecule1507	8	25	32	20	6	0.606060606060606	0.6	1.6	2	0.25	1	0	5	5	7	7	0	0	1	0	0	0	1	0.15	0.181818181818182	168.595779948242	224.109795096208	397.550175297138	524.381809406885	0	0	124.613169346993	0	0	0
1508	Molecule1508	10	30	43	27	8	0.75	0.592592592592593	1.59259259259259	2	0.2	1	0	5	5	8	8	0	0	3	0	0	0	2	0.266666666666667	0.333333333333333	174.199845444411	231.916996349062	466.325195241871	583.766493195591	0	0	343.551645356974	0	0	0
1509	Molecule1509	9	15	51	43	4	0.745454545454545	0.195121951219512	1.24390243902439	3	0.333333333333333	1	0	0	0	3	6	0	0	4	0	0	0	2	0.19047619047619	0.218181818181818	0	0	294.003205445338	741.85497816552	0	0	631.055059231909	0	0	0
1510	Molecule1510	9	15	51	43	4	0.650793650793651	0.195121951219512	1.24390243902439	3	0.333333333333333	1	0	0	0	3	6	0	0	4	0	0	0	2	0.169014084507042	0.19047619047619	0	0	341.080561200066	870.089379247755	0	0	732.885911026202	0	0	0
1511	Molecule1511	9	15	51	43	4	0.773584905660377	0.195121951219512	1.24390243902439	3	0.333333333333333	1	0	0	0	3	6	0	0	4	0	0	0	2	0.19672131147541	0.226415094339623	0	0	275.010144400103	700.109053998752	0	0	594.070555812624	0	0	0
1512	Molecule1512	14	35	81	63	9	0.983870967741936	0.295081967213115	1.32786885245902	3	0.214285714285714	1	0	0	0	3	11	0	0	5	4	0	0	6	0.453333333333333	0.516129032258065	0	0	180.702992221061	949.7138871199	0	0	571.582003124697	553.363942215574	0	0
1513	Molecule1513	9	18	51	39	6	0.506849315068493	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	0	0	0	0	0	310.167799539418	824.201268469195	0	0	1205.45558149513	0	0	0
1514	Molecule1514	9	18	51	39	6	0.60655737704918	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	0	0	0	0	0	242.990523131615	653.254933728422	0	0	951.120431885012	0	0	0
1515	Molecule1515	10	36	42	24	9	0.774193548387097	0.75	1.75	1	0.1	1	0	5	5	9	7	0	2	2	0	1	2	2	0.3	0.387096774193548	111.417011902188	150.953196731851	317.586933742735	319.517624025815	0	94.0302958001302	124.634191984337	0	65.9719380972746	159.161478135765
1516	Molecule1516	9	21	50	38	6	0.782608695652174	0.333333333333333	1.38888888888889	1	0.111111111111111	1	0	0	0	4	5	0	2	4	0	0	4	2	0.222222222222222	0.260869565217391	0	0	208.111060476011	382.35892883763	0	168.952301845704	420.850515285228	0	0	550.644058500625
1517	Molecule1517	9	21	50	38	6	0.9	0.333333333333333	1.38888888888889	1	0.111111111111111	1	0	0	0	4	5	0	2	4	0	0	4	2	0.25	0.3	0	0	167.5238190967	311.428104538624	0	136.165060466394	340.122322565169	0	0	444.928624401256
1518	Molecule1518	13	25	74	62	6	0.9375	0.2	1.23333333333333	5	0.384615384615385	1	0	0	0	4	9	0	2	4	0	0	4	6	0.473684210526316	0.5625	0	0	336.01313351799	1229.21861788284	0	272.032936829243	663.694123473075	0	0	871.746863613571
1519	Molecule1519	17	35	96	76	10	0.973684210526316	0.27027027027027	1.2972972972973	5	0.294117647058824	1	0	0	0	6	11	0	2	8	0	0	4	8	0.58695652173913	0.657894736842105	0	0	639.185265249037	1618.47674160814	0	322.883182966529	1659.55322048158	0	0	1020.89503349464
1520	Molecule1520	9	21	50	38	6	0.782608695652174	0.333333333333333	1.38888888888889	1	0.111111111111111	1	0	0	0	4	5	0	2	4	0	0	4	2	0.222222222222222	0.260869565217391	0	0	202.117375500776	375.91713791813	0	163.972513415014	411.898033378882	0	0	537.725684708133
1521	Molecule1521	9	21	50	38	6	0.9	0.333333333333333	1.38888888888889	1	0.111111111111111	1	0	0	0	4	5	0	2	4	0	0	4	2	0.25	0.3	0	0	166.004601974492	309.802098819849	0	134.89928448076	337.854074875827	0	0	441.648041862855
1522	Molecule1522	9	15	52	44	4	0.875	0.19047619047619	1.23809523809524	3	0.333333333333333	1	0	0	0	2	7	0	0	4	0	0	0	2	0.214285714285714	0.25	0	0	129.665567058837	691.322333778156	0	0	493.073855644363	0	0	0
1523	Molecule1523	15	49	58	34	12	0.708333333333333	0.705882352941177	1.70588235294118	3	0.2	2	0	10	10	14	13	0	0	2	0	0	0	1	0.0967741935483871	0.125	472.222638049169	627.639258497475	1111.40143303355	1286.19992638746	0	0	346.614263892283	0	0	0
